RuntimeManagerAPIName,ServerName,ArtefactID,RuntimeStatus,RuntimeAPIUpTime,APIMangerAPIName,AutodiscoveryInstanceName,AutodiscoveryApiName,ProductVersion,LastActiveDate,CreatedDate,UpdatedDate,PolicyName,PolicyStatus,PolicyCreatedDate,PolicyUpdatedDate
sys_claims_activitysearch_api,r1c3dev_awsbdlc3dmua01,sys_claims_activitysearch_api-1.0.1-217.zip,STARTED,17.4days,activity-search-api,v1:16059067,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:activity-search-api,v1,2020-06-19T16:14:10.358Z,2020-03-16T11:59:03.536Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T11:59:03.536Z,
sys_opentext_documents_docarchive_api,r1c3dev_awsbdlc3dmua01,sys_opentext_documents_docarchive_api-1.0.1-379.zip,STARTED,11.23days,sys_opentext_documents_docarchive_api,v1:16060317,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sys_opentext_documents_docarchive_api,v1,2020-06-19T16:14:11.389Z,2020-03-17T05:12:08.266Z,,Custom - LDAPs Cache - v4,enabled,2020-03-17T05:12:08.266Z,
sys_dataplatform_Barring_api,r1c3dev_awsbdlc3dmua01,sys_dataplatform_Barring_api-1.0.1-415.zip,STARTED,7.07days,barring-api,v1:16059068,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:barring-api,v1,2020-06-19T16:14:11.812Z,2020-03-16T11:59:54.675Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T11:59:54.675Z,2020-06-05T15:05:28.177Z
sys_billing_policy_api,r1c3dev_awsbdlc3dmua01,sys_billing_policy_api-1.0.1-364.zip,STARTED,16.3days,billing-policy-api,v1:16162101,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:billing-policy-api,v1,2020-06-19T16:14:13.200Z,2020-05-21T07:31:52.446Z,,Custom - LDAPs Cache - v3,enabled,2020-05-21T07:31:52.446Z,
sys_carweb_api,r1c3dev_awsbdlc3dmua01,sys_carweb_api-1.0.1-222.zip,STARTED,17.4days,carweb-api,v1:16059077,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:carweb-api,v1,2020-06-19T16:14:16.032Z,2020-03-16T12:01:26.027Z,,Custom - HTTP Cache Redis Carweb - v3,enabled,2020-06-19T05:47:25.299Z,2020-06-19T06:59:16.137Z
sys_claims_claimsearch_api,r1c3dev_awsbdlc3dmua01,sys_claims_claimsearch_api-1.0.1-217.zip,STARTED,17.4days,claim-search-api,v1:16072099,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:claim-search-api,v1,2020-06-19T16:14:12.248Z,2020-03-24T14:18:58.063Z,,Custom - LDAPs Cache - v3,enabled,2020-03-24T14:18:58.063Z,
exp_confused_policy_motorquote_api,r1c3dev_awsbdlc3dmua01,exp_confused_policy_motorquote_api-1.0.1-484.zip,STARTED,1.37days,confused-pcw-api,v1:16059080,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:confused-pcw-api,v1,2020-06-19T16:14:12.994Z,2020-03-16T12:03:07.630Z,,Custom - LDAPs Cache - v3,Disabled,2020-03-16T12:03:07.630Z,2020-03-19T07:48:42.205Z
sys_claims_cm_api,r1c3dev_awsbdlc3dmua01,sys_claims_cm_api-1.0.1-354.zip,STARTED,17.4days,contact-manager-api,v1:16059082,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:contact-manager-api,v1,2020-06-19T16:14:15.309Z,2020-03-16T12:03:55.724Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:03:55.724Z,
exp_claims_policysearch_api,r1c3dev_awsbdlc3dmua01,exp_claims_policysearch_api-1.0.1-365.zip,STARTED,16.15days,cross-version-policy-search-api,v1:16059186,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:cross-version-policy-search-api,v1,2020-06-19T16:14:13.302Z,2020-03-16T12:55:44.031Z,,Custom - LDAPs Cache - v3,Disabled,2020-03-16T12:55:44.031Z,2020-03-19T07:48:09.558Z
exp_ctm_policy_motorquote_api,r1c3dev_awsbdlc3dmua01,exp_ctm_policy_motorquote_api-1.0.1-481.zip,STARTED,1.37days,ctm-pcw-api,v1:16059084,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:ctm-pcw-api,v1,2020-06-19T16:14:14.991Z,2020-03-16T12:04:46.691Z,,Custom - LDAPs Cache - v3,Disabled,2020-03-16T12:04:46.691Z,2020-03-19T07:49:16.773Z
sys_claims_detica_api,r1c3dev_awsbdlc3dmua01,sys_claims_detica_api-1.0.1-294.zip,STARTED,17.4days,detica-api,v1:16059086,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:detica-api,v1,2020-06-19T16:14:06.778Z,2020-03-16T12:05:42.704Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:05:42.704Z,
exp_digital_account_policy_details_api,r1c3dev_awsbdlc3dmua01,exp_digital_account_policy_details_api-1.0.1-217.zip,STARTED,17.39days,digital-account-policy-details-api,1.0:16059189,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-account-policy-details-api,1.0,2020-06-19T16:14:16.887Z,2020-03-16T12:56:34.062Z,,Custom - LDAPs Cache - v4,Disabled,2020-03-16T12:56:34.062Z,2020-03-19T07:50:10.161Z
exp_digital_addresslookup_api,r1c3dev_awsbdlc3dmua01,exp_digital_addresslookup_api-1.0.1-217.zip,STARTED,17.4days,digital-address-lookup-api,v1:16059088,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-address-lookup-api,v1,2020-06-19T16:14:07.840Z,2020-03-16T12:06:42.993Z,,Custom - LDAPs Cache - v4,Disabled,2020-03-16T12:06:42.993Z,2020-03-19T07:51:14.073Z
exp_digital_policychange_api,r1c3dev_awsbdlc3dmua01,exp_digital_policychange_api-1.0.1-412.zip,STARTED,7.13days,digital-policy-change-api,1.0.0:16059090,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-policy-change-api,1.0.0,2020-06-19T16:14:09.422Z,2020-03-16T12:07:38.165Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:07:38.165Z,
exp_digital_policy_documents_api,r1c3dev_awsbdlc3dmua01,exp_digital_policy_documents_api-1.0.1-343.zip,STARTED,17.4days,digital-policy-documents-api,1.0.0:16059091,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-policy-documents-api,1.0.0,2020-06-19T16:14:13.823Z,2020-03-16T12:08:32.486Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:08:32.486Z,
,,,,,digital-policy-license-lookup,v1:16211441,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-policy-license-lookup,v1,2020-06-19T16:14:17.306Z,2020-06-18T09:11:15.166Z,,,,,
prc_digital_policy_quote_api,r1c3dev_awsbdlc3dmua01,prc_digital_policy_quote_api-1.0.1-363.zip,STARTED,16.45days,digital-policy-quote-api,1.0:16059093,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-policy-quote-api,1.0,2020-06-19T16:14:07.324Z,2020-03-16T12:09:22.804Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:09:22.804Z,
exp_digital_policy_submission_api,r1c3dev_awsbdlc3dmua01,exp_digital_policy_submission_api-1.0.1-501.zip,STARTED,.36days,digital-policy-submission-api,1.0:16059191,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-policy-submission-api,1.0,2020-06-19T16:14:17.096Z,2020-03-16T12:57:21.573Z,,Custom - LDAPs Cache - v4,Disabled,2020-03-16T12:57:21.573Z,
exp_digital_policy_retrievequote_proxy_api,r1c3dev_awsbdlc3dmua01,exp_digital_policy_retrievequote_proxy_api-1.0.0-170.zip,STARTED,17.4days,digital-retrieve-quote,1.0:16162103,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-retrieve-quote,1.0,2020-06-19T16:14:11.500Z,2020-05-21T07:33:55.768Z,,Custom - JWT Okta Validation - v3,enabled,2020-05-21T07:33:55.768Z,
prc_digital_policy_retrievequote_api,r1c3dev_awsbdlc3dmua01,prc_digital_policy_retrievequote_api-1.0.1-169.zip,STARTED,17.4days,digital-retrieve-quote-process-api,1.0:16059040,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-retrieve-quote-process-api,1.0,2020-06-19T16:14:15.826Z,2020-03-16T11:43:29.913Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T11:43:29.913Z,
exp_digital_policy_retrievequote_unauth_proxy_api,r1c3dev_awsbdlc3dmua01,exp_digital_policy_retrievequote_unauth_proxy_api-1.0.1-19.zip,STARTED,17.4days,digital-retrieve-quote-unauthenticated,1.0:16059041,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-retrieve-quote-unauthenticated,1.0,2020-06-19T16:14:13.403Z,2020-03-16T11:44:18.220Z,,Custom - Redis Cache Token validation - v7,enabled,2020-03-16T11:44:18.220Z,
sys_digital_vehiclelookup_api,r1c3dev_awsbdlc3dmua01,sys_digital_vehiclelookup_api-1.0.1-328.zip,STARTED,17.4days,digital-vehicle-lookup-api,v1:16059107,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-vehicle-lookup-api,v1,2020-06-19T16:14:15.723Z,2020-03-16T12:23:07.160Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:23:07.160Z,
exp_digital_vrnlookup_api,r1c3dev_awsbdlc3dmua01,exp_digital_vrnlookup_api-1.0.1-329.zip,STARTED,17.4days,digital-vrn-lookup-api,1.0.0:16059109,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:digital-vrn-lookup-api,1.0.0,2020-06-19T16:14:11.286Z,2020-03-16T12:23:58.319Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:23:58.319Z,
sys_opentext_documents_docarchiveinb_api,r1c3dev_awsbdlc3dmua01,sys_opentext_documents_docarchiveinb_api-1.0.1-278.zip,STARTED,17.4days,document-inboundguidewire-to-opentext,v1:16059193,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:document-inboundguidewire-to-opentext,v1,2020-06-19T16:14:10.043Z,2020-03-16T12:58:10.838Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:58:10.838Z,
sys_claims_dvla_api,r1c3dev_awsbdlc3dmua01,sys_claims_dvla_api-1.0.1-267.zip,STARTED,17.4days,sysclaimsdvlaapi,v1:16059224,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sysclaimsdvlaapi,v1,2020-06-19T16:14:05.510Z,2020-03-16T13:11:05.425Z,,,,,
sys_claims_dvla_api,r1c3dev_awsbdlc3dmua01,sys_claims_dvla_api-1.0.1-267.zip,STARTED,17.4days,dvla-batch-api,v1:16162104,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:dvla-batch-api,v1,2020-06-19T16:14:05.616Z,2020-05-21T07:34:42.533Z,,Custom - LDAP Cache,Disabled,2020-05-21T07:34:42.533Z,
sys_email_documents_distribution_api,r1c3dev_awsbdlc3dmua01,sys_email_documents_distribution_api-1.0.1-259.zip,STARTED,17.4days,email-document-distribution-api,v1:16059110,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:email-document-distribution-api,v1,2020-06-19T16:14:08.050Z,2020-03-16T12:24:52.989Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:24:52.989Z,
prc_policy_getEnrichedRatingAndUWData_api,r1c3dev_awsbdlc3dmua01,prc_policy_getEnrichedRatingAndUWData_api-1.0.1-486.zip,STARTED,1.37days,enrichment-and-uwdata-api,v1:16059114,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:enrichment-and-uwdata-api,v1,2020-06-19T16:14:08.487Z,2020-03-16T12:25:42.524Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:25:42.524Z,2020-06-08T11:00:42.966Z
exp_ccm_account_policy_summary_api,r1c3dev_awsbdlc3dmua01,exp_ccm_account_policy_summary_api-1.0.0-298.zip,STARTED,17.4days,exp-ccm-account-policy-summary-api,v1:16059042,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-ccm-account-policy-summary-api,v1,2020-06-19T16:14:15.513Z,2020-03-16T11:45:06.595Z,,Custom - Salesforce Azure JWT Validation v1,Disabled,2020-03-16T11:45:06.595Z,2020-03-19T07:47:00.261Z
exp_ccm_search_account_api,r1c3dev_awsbdlc3dmua01,exp_ccm_search_account_api-1.0.0-356.zip,STARTED,17.39days,exp-ccm-search-account-api,v1:16059043,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-ccm-search-account-api,v1,2020-06-19T16:14:16.563Z,2020-03-16T11:45:54.374Z,,Custom - Salesforce Azure JWT Validation v1,Disabled,2020-03-16T11:45:54.374Z,
exp_dg_marketingpreferences_api,r1c3dev_awsbdlc3dmua01,exp_dg_marketingpreferences_api-1.0.0-157.zip,STARTED,17.4days,exp-dg-marketing-preferences-api,v1:16059001,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-dg-marketing-preferences-api,v1,2020-06-19T16:14:10.872Z,2020-03-16T11:25:35.844Z,,Custom - Salesforce Azure JWT Validation v1,Disabled,2020-03-16T11:25:35.844Z,2020-03-19T07:49:42.668Z
exp_digital_policy_renewals_api,r1c3dev_awsbdlc3dmua01,exp_digital_policy_renewals_api-1.0.0-413.zip,STARTED,7.13days,exp_digital_policy_renewals_api,1.0.0:16059045,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp_digital_policy_renewals_api,1.0.0,2020-06-19T16:14:15.931Z,2020-03-16T11:47:29.614Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T11:47:29.614Z,
sys_experian_bankwizard_account,r1c3dev_awsbdlc3dmua01,sys_experian_bankwizard_account-1.0.1-224.zip,STARTED,17.4days,experian-bankwizard-api,v1:16060314,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:experian-bankwizard-api,v1,2020-06-19T16:14:06.135Z,2020-03-17T05:09:39.727Z,,Custom - LDAPs Cache - v3,enabled,2020-03-17T05:09:39.727Z,
sys_experian_crosscore_fraudCheck_api,r1c3dev_awsbdlc3dmua01,sys_experian_crosscore_fraudCheck_api-1.0.1-293.zip,STARTED,17.4days,experian-crosscore-api,1.0:16059116,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:experian-crosscore-api,1.0,2020-06-19T16:14:14.665Z,2020-03-16T12:27:27.366Z,,,,,
sys_experian_icache_creditscore_api,r1c3dev_awsbdlc3dmua01,sys_experian_icache_creditscore_api-1.0.1-367.zip,STARTED,15.43days,experian-icache-api,v1:16059194,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:experian-icache-api,v1,2020-06-19T16:14:10.563Z,2020-03-16T12:59:00.951Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:59:00.951Z,
exp_gw_activities_api,r1c3dev_awsbdlc3dmua01,exp_gw_activities_api-1.0.0-135.zip,STARTED,17.4days,exp-gw-activities,v1:16060310,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-gw-activities,v1,2020-06-19T16:14:07.220Z,2020-03-17T05:07:10.028Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-17T05:07:10.028Z,
exp_gw_marketingpreferences_api,r1c3dev_awsbdlc3dmua01,exp_gw_marketingpreferences_api-1.0.0-48.zip,STARTED,17.4days,exp-gw-marketing-preferences-api,v1:16059003,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-gw-marketing-preferences-api,v1,2020-06-19T16:14:06.030Z,2020-03-16T11:27:17.325Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-16T11:27:17.325Z,
exp_msm_policy_motorquote_api,r1c3dev_awsbdlc3dmua01,exp_msm_policy_motorquote_api-1.0.1-483.zip,STARTED,1.37days,expmsmpolicymotorquoteapi,v1:16059196,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:expmsmpolicymotorquoteapi,v1,2020-06-19T16:14:09.837Z,2020-03-16T12:59:49.524Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:59:49.524Z,
exp_sf_addresslookup_api,r1c3dev_awsbdlc3dmua01,exp_sf_addresslookup_api-1.0.0-359.zip,STARTED,17.4days,exp-sf-address-lookup-api,v1:16059006,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-address-lookup-api,v1,2020-06-19T16:14:05.928Z,2020-03-16T11:28:06.034Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-16T11:28:06.034Z,
exp_sf_customer_account_api,r1c3dev_awsbdlc3dmua01,exp_sf_customer_account_api-1.0.0-369.zip,STARTED,14.29days,exp_sf_customer_account_api,1.0:16059046,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp_sf_customer_account_api,1.0,2020-06-19T16:14:10.459Z,2020-03-16T11:48:22.288Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-16T11:48:22.288Z,
exp_sf_customer_submission_api,r1c3dev_awsbdlc3dmua01,exp_sf_customer_submission_api-1.0.1-145.zip,STARTED,17.4days,exp-sf-customer-submission-api,1.0:16059020,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-customer-submission-api,1.0,2020-06-19T16:14:06.559Z,2020-03-16T11:32:15.496Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-16T11:32:15.496Z,
exp_sf_marketingpreferences_api,r1c3dev_awsbdlc3dmua01,exp_sf_marketingpreferences_api-1.0.0-233.zip,STARTED,17.4days,exp-sf-marketing-preferences-api,v1:16064633,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-marketing-preferences-api,v1,2020-06-19T16:14:10.976Z,2020-03-19T03:57:29.302Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-19T03:57:29.302Z,
exp_sf_odata_api,r1c3dev_awsbdlc3dmua01,exp_sf_odata_api-1.0.0-302.zip,STARTED,17.39days,exp-sf-odata-api,v1:16059017,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-odata-api,v1,2020-06-19T16:14:16.343Z,2020-03-16T11:30:36.872Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-16T11:30:36.872Z,2020-05-26T14:58:34.239Z
exp_sf_soparano_sms_api,r1c3dev_awsbdlc3dmua01,exp_sf_soparano_sms_api-1.0.0-357.zip,STARTED,14.32days,exp-sf-soparano-sms-api,v1:16059018,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-soparano-sms-api,v1,2020-06-19T16:14:14.349Z,2020-03-16T11:31:25.121Z,,Custom - Salesforce Azure JWT Validation v1,Disabled,2020-03-16T11:31:25.121Z,2020-03-19T07:35:05.554Z
,,,,,exp-sf-submission-api,v1:16066800,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-submission-api,v1,2020-06-19T16:14:07.116Z,2020-03-20T10:18:17.022Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-20T10:18:17.022Z,
,,,,,exp-sf-vehicle-api,v1:16059044,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:exp-sf-vehicle-api,v1,2020-06-19T16:14:06.892Z,2020-03-16T11:46:40.881Z,,Custom - Salesforce Azure JWT Validation v1,enabled,2020-03-16T11:46:40.881Z,2020-06-01T08:49:45.528Z
sys_fax_documents_distribution_api,r1c3dev_awsbdlc3dmua01,sys_fax_documents_distribution_api-1.0.1-289.zip,STARTED,17.4days,fax-document-distribution-api,v1:16059119,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:fax-document-distribution-api,v1,2020-06-19T16:14:12.564Z,2020-03-16T12:28:18.164Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:28:18.164Z,
sys_policycenter_policy_finalpricing_api,r1c3dev_awsbdlc3dmua01,sys_policycenter_policy_finalpricing_api-1.0.1-319.zip,STARTED,17.4days,final-pricing-api,v1:16059203,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:final-pricing-api,v1,2020-06-19T16:14:08.367Z,2020-03-16T13:00:37.716Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T13:00:37.716Z,
exp_floow_policy_statusupdate_api,r1c3dev_awsbdlc3dmua01,exp_floow_policy_statusupdate_api-1.0.1-230.zip,STARTED,17.4days,floow-statusupdate-api,1.0:16059120,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:floow-statusupdate-api,1.0,2020-06-19T16:14:07.427Z,2020-03-16T12:29:07.855Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T12:29:07.855Z,
sys_policycenter_policy_getcoverages_api,r1c3dev_awsbdlc3dmua01,sys_policycenter_policy_getcoverages_api-1.0.1-178.zip,STARTED,17.4days,get-coverages-proxy-api,v1:16162107,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:get-coverages-proxy-api,v1,,2020-05-21T07:37:24.282Z,,Custom - LDAP Cache,Disabled,2020-05-21T07:37:24.282Z,
sys_opentext_documents_docarchiveinb_api,r1c3dev_awsbdlc3dmua01,sys_opentext_documents_docarchiveinb_api-1.0.1-278.zip,STARTED,17.4days,getdocument-contentgw-to-opentext,v1:16059208,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:getdocument-contentgw-to-opentext,v1,2020-06-19T16:14:10.143Z,2020-03-16T13:01:25.300Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T13:01:25.300Z,
exp_gocompare_policy_motorquote_api,r1c3dev_awsbdlc3dmua01,exp_gocompare_policy_motorquote_api-1.0.1-482.zip,STARTED,1.37days,gocompare-pcw-api,v1:16059122,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:gocompare-pcw-api,v1,2020-06-19T16:14:11.704Z,2020-03-16T12:29:57.437Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T12:29:57.437Z,
sys_guidewire_documents_docarchive_api,r1c3dev_awsbdlc3dmua01,sys_guidewire_documents_docarchive_api-1.0.1-257.zip,STARTED,17.4days,notify-document-upload,v1:16059212,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:notify-document-upload,v1,2020-06-19T16:14:12.669Z,2020-03-16T13:03:47.257Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T13:03:47.257Z,
sys_guidewire_documents_docarchive_api,r1c3dev_awsbdlc3dmua01,sys_guidewire_documents_docarchive_api-1.0.1-257.zip,STARTED,17.4days,search-claimandpolicy-number,v1:16059221,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:search-claimandpolicy-number,v1,2020-06-19T16:14:12.772Z,2020-03-16T13:08:37.824Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T13:08:37.824Z,
sys_guidewire_documents_docarchive_api,r1c3dev_awsbdlc3dmua01,sys_guidewire_documents_docarchive_api-1.0.1-257.zip,STARTED,17.4days,sync-documenttypes,v1:16059222,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:sync-documenttypes,v1,2020-06-19T16:14:12.876Z,2020-03-16T13:09:26.185Z,,Custom - LDAPs Cache - v4,enabled,2020-03-16T13:09:26.185Z,
sys_hopewiser_api,r1c3dev_awsbdlc3dmua01,sys_hopewiser_api-1.0.1-256.zip,STARTED,17.4days,hopewiser-api,v1:16059209,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:hopewiser-api,v1,2020-06-19T16:14:15.206Z,2020-03-16T13:02:12.711Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T13:02:12.711Z,
sys_largepricingtable_ratingfactor_api,r1c3dev_awsbdlc3dmua01,sys_largepricingtable_ratingfactor_api-1.0.1-280.zip,STARTED,17.4days,largepricingtable-ratingfactor-api,1.0.0:16059132,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:largepricingtable-ratingfactor-api,1.0.0,2020-06-19T16:14:06.242Z,2020-03-16T12:30:48.647Z,,Custom - LDAPs Cache - v4,Disabled,2020-03-16T12:30:48.647Z,2020-03-19T07:19:47.557Z
sys_lexisnexis_ncd_api,r1c3dev_awsbdlc3dmua01,sys_lexisnexis_ncd_api-1.0.1-260.zip,STARTED,17.4days,lexisnexis-ncd-api,v1:16059211,groupId:80b9d969-5f1f-4d34-9e3d-9318f1ad915a:assetId:lexisnexis-ncd-api,v1,2020-06-19T16:14:07.632Z,2020-03-16T13:02:58.520Z,,Custom - LDAPs Cache - v3,enabled,2020-03-16T13:02:58.520Z,
